size,algorithm,mean_time,std_dev
1000,Bubble Sort,0.033483570802491126,0.0015012131367501287
1000,Counting Sort,0.1853951247991062,0.0050840625228319
1000,Heap Sort,0.0031881501898169,0.000265694984518
1000,Insertion Sort,0.012310775188961951,0.0007316103428813433
1000,Merge Sort,0.0028747188043780248,0.000232769286396
1000,Quick Sort,0.0012312955979723,5.831713453603206e-05
1000,Radix Sort,0.0020287500112317,0.0001226114129474
1000,Selection Sort,0.0248831415898166,0.0013759359879382
1000,Tim Sort,0.0013414748013019,0.00010308554158243132
10000,Heap Sort,0.0417756163980811,0.0012240144180609
10000,Merge Sort,0.0357206585933454,0.0019127063640849
10000,Quick Sort,0.0213594083790667,0.0004702185186516
10000,Radix Sort,0.0200668666046112,0.0014921941767094
