data_type,algorithm,mean_time,std_dev
float,Merge Sort,0.0031224415986798,0.0001689033138103
integer,Bubble Sort,0.033483570802491126,0.0015012131367501287
integer,Counting Sort,0.1853951247991062,0.0050840625228319
integer,Heap Sort,0.022481883293948998,0.00074485470128945
integer,Insertion Sort,0.012310775188961951,0.0007316103428813433
integer,Merge Sort,0.013622225138048302,0.0008065867268733333
integer,Quick Sort,0.007940666525003767,0.00019561759590788807
integer,Radix Sort,0.01104780830792145,0.0008074027948284
integer,Selection Sort,0.0248831415898166,0.0013759359879382
integer,Tim Sort,0.0013414748013019,0.00010308554158243132
string,Merge Sort,0.0032304167980328,0.0002551200152386
